Word	Term_id	Document_List
north	term_id_1	['document_1', 'document_46', 'document_90', 'document_96', 'document_154', 'document_196', 'document_215', 'document_255', 'document_281', 'document_287']
lie	term_id_2	['document_1', 'document_42', 'document_44', 'document_46', 'document_60', 'document_61', 'document_187', 'document_201', 'document_204', 'document_206', 'document_226', 'document_227', 'document_231', 'document_234', 'document_246', 'document_259', 'document_266', 'document_274', 'document_287', 'document_294']
contend	term_id_3	['document_1', 'document_196']
katniss	term_id_4	['document_1', 'document_223']
live	term_id_5	['document_1', 'document_21', 'document_22', 'document_26', 'document_32', 'document_37', 'document_61', 'document_75', 'document_96', 'document_123', 'document_131', 'document_135', 'document_144', 'document_148', 'document_154', 'document_155', 'document_157', 'document_162', 'document_165', 'document_182', 'document_183', 'document_196', 'document_206', 'document_208', 'document_209', 'document_214', 'document_215', 'document_218', 'document_235', 'document_238', 'document_240', 'document_260', 'document_263', 'document_265', 'document_267', 'document_269', 'document_270', 'document_282', 'document_285', 'document_294']
human	term_id_6	['document_1', 'document_3', 'document_25', 'document_30', 'document_44', 'document_45', 'document_46', 'document_53', 'document_74', 'document_77', 'document_83', 'document_87', 'document_94', 'document_99', 'document_105', 'document_117', 'document_118', 'document_121', 'document_130', 'document_142', 'document_145', 'document_151', 'document_152', 'document_154', 'document_163', 'document_177', 'document_178', 'document_188', 'document_191', 'document_195', 'document_197', 'document_229', 'document_233', 'document_238', 'document_240', 'document_247', 'document_250', 'document_256', 'document_260', 'document_262', 'document_267', 'document_279', 'document_285', 'document_288', 'document_292', 'document_293']
surviv	term_id_7	['document_1', 'document_32', 'document_45', 'document_53', 'document_54', 'document_56', 'document_68', 'document_70', 'document_77', 'document_86', 'document_151', 'document_168', 'document_177', 'document_181', 'document_188', 'document_209', 'document_214', 'document_223', 'document_230', 'document_238', 'document_263']
second	term_id_8	['document_1', 'document_5', 'document_12', 'document_56', 'document_65', 'document_76', 'document_96', 'document_122', 'document_123', 'document_126', 'document_152', 'document_156', 'document_178', 'document_214', 'document_215', 'document_234', 'document_239', 'document_247', 'document_248', 'document_256', 'document_286', 'document_295']
shine	term_id_9	['document_1', 'document_293']
see	term_id_10	['document_1', 'document_15', 'document_18', 'document_21', 'document_68', 'document_96', 'document_113', 'document_118', 'document_123', 'document_133', 'document_174', 'document_180', 'document_185', 'document_195', 'document_207', 'document_213', 'document_225', 'document_226', 'document_245', 'document_253', 'document_271', 'document_273', 'document_277', 'document_293', 'document_296']
